 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median,Skew,%Area
1,104808,255,0,255,255,255,274.439,215.656,274.439,215.656,255,NaN,100
2,76,255,0,255,255,255,394.000,64.000,394.000,64.000,255,NaN,100
3,49,255,0,255,255,255,293.500,80.500,293.500,80.500,255,NaN,100
4,1327,255,0,255,255,255,352.330,107.604,352.330,107.604,255,NaN,100
5,56,255,0,255,255,255,405.500,106.000,405.500,106.000,255,NaN,100
6,279,255,0,255,255,255,320.124,129.611,320.124,129.611,255,NaN,100
7,216,255,0,255,255,255,338.986,155.190,338.986,155.190,255,NaN,100
8,289,255,0,255,255,255,230.628,166.452,230.628,166.452,255,NaN,100
9,49,255,0,255,255,255,329.500,161.500,329.500,161.500,255,NaN,100
10,85,255,0,255,255,255,329.959,172.547,329.959,172.547,255,NaN,100
11,96,255,0,255,255,255,334.542,193.552,334.542,193.552,255,NaN,100
12,3840,255,0,255,255,255,316.310,267.932,316.310,267.932,255,NaN,100
13,82,255,0,255,255,255,480.561,210.915,480.561,210.915,255,NaN,100
14,203,255,0,255,255,255,518.362,230.948,518.362,230.948,255,NaN,100
15,165,255,0,255,255,255,241.803,236.936,241.803,236.936,255,NaN,100
16,49,255,0,255,255,255,274.500,244.500,274.500,244.500,255,NaN,100
17,92,255,0,255,255,255,239.609,252.380,239.609,252.380,255,NaN,100
18,63,255,0,255,255,255,321.500,303.500,321.500,303.500,255,NaN,100
19,124,255,0,255,255,255,38.960,318.379,38.960,318.379,255,NaN,100
20,316,255,0,255,255,255,54.728,341.310,54.728,341.310,255,NaN,100
21,77,255,0,255,255,255,393.500,356.500,393.500,356.500,255,NaN,100
22,56,255,0,255,255,255,588.000,388.500,588.000,388.500,255,NaN,100
23,104808,255,0,255,255,255,274.439,215.656,274.439,215.656,255,NaN,100
24,76,255,0,255,255,255,394.000,64.000,394.000,64.000,255,NaN,100
25,49,255,0,255,255,255,293.500,80.500,293.500,80.500,255,NaN,100
26,1327,255,0,255,255,255,352.330,107.604,352.330,107.604,255,NaN,100
27,56,255,0,255,255,255,405.500,106.000,405.500,106.000,255,NaN,100
28,279,255,0,255,255,255,320.124,129.611,320.124,129.611,255,NaN,100
29,216,255,0,255,255,255,338.986,155.190,338.986,155.190,255,NaN,100
30,289,255,0,255,255,255,230.628,166.452,230.628,166.452,255,NaN,100
31,49,255,0,255,255,255,329.500,161.500,329.500,161.500,255,NaN,100
32,85,255,0,255,255,255,329.959,172.547,329.959,172.547,255,NaN,100
33,96,255,0,255,255,255,334.542,193.552,334.542,193.552,255,NaN,100
34,3840,255,0,255,255,255,316.310,267.932,316.310,267.932,255,NaN,100
35,82,255,0,255,255,255,480.561,210.915,480.561,210.915,255,NaN,100
36,203,255,0,255,255,255,518.362,230.948,518.362,230.948,255,NaN,100
37,165,255,0,255,255,255,241.803,236.936,241.803,236.936,255,NaN,100
38,49,255,0,255,255,255,274.500,244.500,274.500,244.500,255,NaN,100
39,92,255,0,255,255,255,239.609,252.380,239.609,252.380,255,NaN,100
40,63,255,0,255,255,255,321.500,303.500,321.500,303.500,255,NaN,100
41,124,255,0,255,255,255,38.960,318.379,38.960,318.379,255,NaN,100
42,316,255,0,255,255,255,54.728,341.310,54.728,341.310,255,NaN,100
43,77,255,0,255,255,255,393.500,356.500,393.500,356.500,255,NaN,100
44,56,255,0,255,255,255,588.000,388.500,588.000,388.500,255,NaN,100
45,118196,255,0,255,255,255,270.494,212.623,270.494,212.623,255,NaN,100
46,5,255,0,255,255,255,55.700,13.900,55.700,13.900,255,NaN,100
47,20,255,0,255,255,255,78.500,22.350,78.500,22.350,255,NaN,100
48,2,255,0,255,255,255,62.000,30.500,62.000,30.500,255,NaN,100
49,1,255,0,255,255,255,52.500,31.500,52.500,31.500,255,NaN,100
50,1,255,0,255,255,255,26.500,32.500,26.500,32.500,255,NaN,100
51,2,255,0,255,255,255,86.000,36.500,86.000,36.500,255,NaN,100
52,11,255,0,255,255,255,79.409,39.409,79.409,39.409,255,NaN,100
53,2,255,0,255,255,255,94.000,39.500,94.000,39.500,255,NaN,100
54,2,255,0,255,255,255,30.500,45.000,30.500,45.000,255,NaN,100
55,6,255,0,255,255,255,32.167,49.667,32.167,49.667,255,NaN,100
56,1,255,0,255,255,255,96.500,48.500,96.500,48.500,255,NaN,100
57,2,255,0,255,255,255,88.000,53.500,88.000,53.500,255,NaN,100
58,17,255,0,255,255,255,86.500,57.794,86.500,57.794,255,NaN,100
59,4,255,0,255,255,255,96.000,56.500,96.000,56.500,255,NaN,100
60,10,255,0,255,255,255,107.200,58.700,107.200,58.700,255,NaN,100
61,1,255,0,255,255,255,95.500,61.500,95.500,61.500,255,NaN,100
62,2,255,0,255,255,255,86.000,63.500,86.000,63.500,255,NaN,100
63,2,255,0,255,255,255,108.000,64.000,108.000,64.000,255,NaN,100
64,6,255,0,255,255,255,112.000,63.833,112.000,63.833,255,NaN,100
65,1,255,0,255,255,255,104.500,64.500,104.500,64.500,255,NaN,100
66,41,255,0,255,255,255,416.524,70.280,416.524,70.280,255,NaN,100
67,5,255,0,255,255,255,383.300,70.900,383.300,70.900,255,NaN,100
68,2,255,0,255,255,255,387.500,73.000,387.500,73.000,255,NaN,100
69,1,255,0,255,255,255,412.500,73.500,412.500,73.500,255,NaN,100
70,1,255,0,255,255,255,404.500,74.500,404.500,74.500,255,NaN,100
71,1,255,0,255,255,255,408.500,74.500,408.500,74.500,255,NaN,100
72,4,255,0,255,255,255,134.000,78.000,134.000,78.000,255,NaN,100
73,4,255,0,255,255,255,138.250,79.250,138.250,79.250,255,NaN,100
74,1,255,0,255,255,255,122.500,80.500,122.500,80.500,255,NaN,100
75,2,255,0,255,255,255,193.000,81.000,193.000,81.000,255,NaN,100
76,1,255,0,255,255,255,356.500,80.500,356.500,80.500,255,NaN,100
77,6,255,0,255,255,255,75.333,82.667,75.333,82.667,255,NaN,100
78,1,255,0,255,255,255,192.500,86.500,192.500,86.500,255,NaN,100
79,9,255,0,255,255,255,382.833,87.389,382.833,87.389,255,NaN,100
80,1,255,0,255,255,255,194.500,87.500,194.500,87.500,255,NaN,100
81,2,255,0,255,255,255,417.500,89.000,417.500,89.000,255,NaN,100
82,37,255,0,255,255,255,410.095,94.230,410.095,94.230,255,NaN,100
83,1,255,0,255,255,255,506.500,91.500,506.500,91.500,255,NaN,100
84,1,255,0,255,255,255,183.500,93.500,183.500,93.500,255,NaN,100
85,1,255,0,255,255,255,187.500,93.500,187.500,93.500,255,NaN,100
86,2,255,0,255,255,255,206.500,95.000,206.500,95.000,255,NaN,100
87,1,255,0,255,255,255,433.500,94.500,433.500,94.500,255,NaN,100
88,1,255,0,255,255,255,185.500,96.500,185.500,96.500,255,NaN,100
89,3,255,0,255,255,255,449.500,97.500,449.500,97.500,255,NaN,100
90,20,255,0,255,255,255,404.450,102.300,404.450,102.300,255,NaN,100
91,1,255,0,255,255,255,407.500,100.500,407.500,100.500,255,NaN,100
92,11,255,0,255,255,255,393.045,106.409,393.045,106.409,255,NaN,100
93,4,255,0,255,255,255,104.750,104.750,104.750,104.750,255,NaN,100
94,3,255,0,255,255,255,140.500,104.500,140.500,104.500,255,NaN,100
95,5,255,0,255,255,255,423.100,105.300,423.100,105.300,255,NaN,100
96,41,255,0,255,255,255,119.110,109.305,119.110,109.305,255,NaN,100
97,1,255,0,255,255,255,388.500,105.500,388.500,105.500,255,NaN,100
98,2,255,0,255,255,255,338.500,109.000,338.500,109.000,255,NaN,100
99,1,255,0,255,255,255,402.500,108.500,402.500,108.500,255,NaN,100
100,1,255,0,255,255,255,396.500,109.500,396.500,109.500,255,NaN,100
101,11,255,0,255,255,255,409.227,112.500,409.227,112.500,255,NaN,100
102,2,255,0,255,255,255,417.500,110.000,417.500,110.000,255,NaN,100
103,1,255,0,255,255,255,456.500,109.500,456.500,109.500,255,NaN,100
104,1,255,0,255,255,255,406.500,110.500,406.500,110.500,255,NaN,100
105,1,255,0,255,255,255,414.500,110.500,414.500,110.500,255,NaN,100
106,2,255,0,255,255,255,338.500,113.000,338.500,113.000,255,NaN,100
107,1,255,0,255,255,255,393.500,112.500,393.500,112.500,255,NaN,100
108,50,255,0,255,255,255,331.760,119.140,331.760,119.140,255,NaN,100
109,5,255,0,255,255,255,348.900,114.700,348.900,114.700,255,NaN,100
110,25,255,0,255,255,255,129.460,116.980,129.460,116.980,255,NaN,100
111,4,255,0,255,255,255,346.000,115.000,346.000,115.000,255,NaN,100
112,40,255,0,255,255,255,410.425,121.025,410.425,121.025,255,NaN,100
113,1,255,0,255,255,255,313.500,120.500,313.500,120.500,255,NaN,100
114,1,255,0,255,255,255,443.500,120.500,443.500,120.500,255,NaN,100
115,1,255,0,255,255,255,325.500,121.500,325.500,121.500,255,NaN,100
